Post ID,Timestamp (UTC),Created Date (UK),Created Date (US),Day created,Time created,Content,Total Reactions,Total Likes,Total Loves,Total Hahas,Total Wows,Total Sad,Total Angry,Total Comments,Total Shares,Post Type,Post URL
133847470017994_1840789809323743,Mon Aug 13 13:32:26 UTC 2018,13/08/2018,08/13/2018,Monday,13:32:26,LIKE if your pooch enjoys being pampered 🤣🐾💅,91,60,27,4,0,0,0,11,11,VIDEO,https://www.facebook.com/LADbible/videos/4875972822449869/
133847470017994_1837722332963824,Sat Aug 11 18:30:04 UTC 2018,11/08/2018,08/11/2018,Saturday,18:30:04,Maybe we should be more dog ?! 🙌,76,56,1,19,0,0,0,2,33,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1837722332963824/?type=3
133847470017994_1835173463218711,Fri Aug 10 09:15:58 UTC 2018,10/08/2018,08/10/2018,Friday,09:15:58,"☀️We are Rockingham Castle for the International Agility Festival Dog Agility - The Kennel Club UK ☀️ Stand 6 opposite ring 11! Bring your dog along for show offers, FREE prize draw and FREE friendly nutritional advice from 
Dr. Jacqueline Boyd, our Nutritional Consultant 🐾

This weekend we are also at Lowther Show, stand D17! Let's hope the rain stays away! ☔",35,32,2,0,1,1,0,2,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1835160629886661/?type=3
133847470017994_1833962180006506,Thu Aug 09 15:30:37 UTC 2018,09/08/2018,08/09/2018,Thursday,15:30:37,"📝 📩 Check out our latest Email News letter!📩  📝 

If you would like to receive our monthly newsletters, you can sign up on our website, just scroll to the bottom of the home page! 👇http://bit.ly/2hsOFb5",15,14,1,0,0,0,0,0,3,LINK,http://email.rubious.co.uk/t/r-02FE8B53F656349C2540EF23F30FEDED
133847470017994_1832499006819490,Wed Aug 08 18:30:48 UTC 2018,08/08/2018,08/08/2018,Wednesday,18:30:48,"#DogsOfTheWeek 'Molly, Coco & Pippa' 🐾 
Molly is fed on Field & Trial Puppy and Coco & Pippa enjoy Field & Trial Muesli. Muesli is packed full of energy and will tempt the fussiest of feeders!",39,34,5,0,0,0,0,4,7,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1832499006819490/?type=3
133847470017994_1829098763826181,Mon Aug 06 18:35:00 UTC 2018,06/08/2018,08/06/2018,Monday,18:35:00,🌈🍯Fergal wondering where the pot of gold is (and wishing it was actually full of Field & Trial Puppy!)🍯🌈,44,35,9,0,0,0,0,2,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1829098763826181/?type=3
133847470017994_1825796907489700,Sat Aug 04 18:30:17 UTC 2018,04/08/2018,08/04/2018,Saturday,18:30:17,COMMENT below the last picture on your phone you took of your dog! 😆,197,184,12,1,0,0,0,726,18,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1825796907489700/?type=3
133847470017994_1823400701062654,Fri Aug 03 10:25:04 UTC 2018,03/08/2018,08/03/2018,Friday,10:25:04,Happy Friday EveryPAWdy 🐾,58,35,11,11,1,1,0,7,8,VIDEO,https://www.facebook.com/LADbible/videos/4858083594238792/
133847470017994_1822412941161430,Thu Aug 02 18:30:29 UTC 2018,02/08/2018,08/02/2018,Thursday,18:30:29,"Dr Jacqueline Boyd, our in house Nutritional Consultant, looks at 'How to feed your dog well' – “The Good Dog-Feeding Guide”. Jackie highlights some key points for you to keep your dog in the best of health http://bit.ly/2O5F0Fw",17,14,3,0,0,0,0,0,13,LINK,https://bit.ly/2O5F0Fw
133847470017994_1820823921320332,Wed Aug 01 18:30:14 UTC 2018,01/08/2018,08/01/2018,Wednesday,18:30:14,"#DogOfTheWeek is 'Bob' who has been fed on Field & Trial Duck & Rice for the past 10 years.  Duck & Rice helps ease joints with its enhanced level of Glucosamine and Chondroitin- this is perfect for Bob, as he suffers from Arthritis 🐾",45,40,5,0,0,0,0,2,6,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1820823921320332/?type=3
133847470017994_1818456814890376,Tue Jul 31 09:49:34 UTC 2018,31/07/2018,07/31/2018,Tuesday,09:49:34,Congratulations to the England Gundog Team on winning the Home International Gundog Competition at The Game Fair 🏆,43,42,1,0,0,0,0,0,2,VIDEO,https://www.facebook.com/TheGameFair/videos/1902342796493083/
133847470017994_1810117499057641,Thu Jul 26 11:08:35 UTC 2018,26/07/2018,07/26/2018,Thursday,11:08:35,"Thank you to all who entered our competition with Sporting Saint - Gundog Training Equipment ! Our FIVE lucky winners are..... 

⭐Tanika + Gypsy, Shadow + Ebony
⭐Oliver + Kizzy
⭐Laura Croft + Remi
⭐Katharina + Franky
⭐Celine Holliday , Kyro + Roxy 

We hope to see many of you at The Game Fair tomorrow and this weekend! Pop in and say hi at either of our stands (or both!) K1271 & K1401 🐾",35,31,4,0,0,0,0,2,7,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1810115639057827/?type=3
133847470017994_1809031345832923,Wed Jul 25 18:30:08 UTC 2018,25/07/2018,07/25/2018,Wednesday,18:30:08,"#DogOfTheWeek 'Misty' Fed on Field & Trial Chicken & Rice which is Hypoallergenic, low in fat & contains enhanced levels of Glucosamine and Chondroitin which helps protect the joints of your dog. 🐶",26,23,3,0,0,0,0,4,6,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1809031345832923/?type=3
133847470017994_1805773476158710,Mon Jul 23 18:30:19 UTC 2018,23/07/2018,07/23/2018,Monday,18:30:19,"⭐ The Game Fair Special Offer!⭐ 

When you buy 2 or more bags of 2.5kg Skinner's Dog Food, you'll get a voucher for a FREE Siccaro Dog Drying Mitt worth £19, valid when you purchase any Siccaro Dog Drying coat at the Siccaro Stand K1216 (beside Sporting Saint).

Skinner's stand numbers are: K1271/ K1401 🐶",18,17,1,0,0,0,0,0,13,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1805773476158710/?type=3
133847470017994_1800736699995721,Fri Jul 20 18:30:41 UTC 2018,20/07/2018,07/20/2018,Friday,18:30:41,"🐶COMPETITION!🐶 

For your chance to #WIN a Sporting Saint - Gundog Training Equipment dog training bag & 15kg bag of Field & Trial of your choice follow these 3 simple steps! 

👍  LIKE this post
👇  COMMENT below a picture of your dog training!
👫  SHARE this post with your friends

Come & visit Skinner’s stand numbers K1271/K1401 & Sporting Saint Stand K1214 Gundog Row!

🍀 Good luck! Winner announced Thursday 26th July. 5 lucky winners!🍀",401,392,9,0,0,0,0,360,359,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1800736699995721/?type=3
133847470017994_1799077073495017,Thu Jul 19 18:30:34 UTC 2018,19/07/2018,07/19/2018,Thursday,18:30:34,"Would you like to hear about our monthly pup-dates here at Skinner's? Sign up to find out which events we will be at next, offers, nutritional advice, competitions & much more! 🐶 (link is towards the bottom of the page!) http://bit.ly/2hsOFb5",9,9,0,0,0,0,0,0,4,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1799077073495017/?type=3
133847470017994_1797506313652093,Wed Jul 18 18:30:11 UTC 2018,18/07/2018,07/18/2018,Wednesday,18:30:11,"#DogOfTheWeek 'Kai' Fed on Field & Trial Salmon & Rice. Salmon & Rice is specially formulated to reduce the likelihood of skin, coat and digestive conditions associated with sensitivities to wheat, maize, barley, soya and dairy products 🐶",48,42,6,0,0,0,0,5,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1797506313652093/?type=3
133847470017994_1795376687198389,Tue Jul 17 09:43:58 UTC 2018,17/07/2018,07/17/2018,Tuesday,09:43:58,It's #WorldEmojiDay ! Describe your dog in ONE emoji! 👇😬🤣😎 😊😍😘🙃😛🤓,36,30,5,1,0,0,0,119,3,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1795374373865287/?type=3
133847470017994_1794298980639493,Mon Jul 16 15:05:32 UTC 2018,16/07/2018,07/16/2018,Monday,15:05:32,⭐️Congratulations to Heidi & Lily (owned by Sarah-Louise Johnson) who are our new Cover Photo Stars! Fed on Field & Trial Maintenance⭐️,137,106,30,0,1,1,0,6,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.496558973746840.1073741826.133847470017994/1794298413972883/?type=3
133847470017994_1791519990917392,Sat Jul 14 18:30:05 UTC 2018,14/07/2018,07/14/2018,Saturday,18:30:05,"⭐COVER PHOTO CONTEST⭐ 

SIMPLY LIKE & COMMENT below the perfect picture of your pooch for the chance to be featured👇  🐾 

*Winner chosen Monday 16th July*",249,237,12,0,0,0,0,327,24,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1791519990917392/?type=3
133847470017994_1789722501097141,Fri Jul 13 14:13:17 UTC 2018,13/07/2018,07/13/2018,Friday,14:13:17,🐾Happy Furrr-iday everyone! Have a Paw-fect weekend with your pooches 🐾,27,17,10,0,0,0,0,7,4,VIDEO,https://www.facebook.com/LADbible/videos/4806619942718491/
133847470017994_1787098288026229,Wed Jul 11 18:30:08 UTC 2018,11/07/2018,07/11/2018,Wednesday,18:30:08,#DogOfTheWeek is 'Speckles' who is 10 months old and fed on Field & Trial Junior. Junior is suitable from 6-18 months and is the perfect transition between Puppy & Adult 🐶,32,29,3,0,0,0,0,2,2,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1787098288026229/?type=3
133847470017994_1783809601688431,Mon Jul 09 14:33:10 UTC 2018,09/07/2018,07/09/2018,Monday,14:33:10,"With the recent bout of hot weather, it is important to know the dangers of heatstroke, and when to exercise your dog‼️",14,12,1,0,1,1,0,1,24,LINK,https://heatstroke.dog/2018/07/07/dogs-dont-just-die-in-hot-cars/
133847470017994_1780899921979399,Sat Jul 07 18:31:34 UTC 2018,07/07/2018,07/07/2018,Saturday,18:31:34,"Looking for an easy treat to help cool your pooch down? Simply freeze some Skinner's in water using an ice-cube tray, and hey presto! You have some delicious ice-pops for your pooch 😎",48,43,4,1,0,0,0,10,7,VIDEO,https://www.facebook.com/skinnerspetfood/videos/1780899921979399/
133847470017994_1779149725487752,Fri Jul 06 13:46:14 UTC 2018,06/07/2018,07/06/2018,Friday,13:46:14,How are you going to keep cool this weekend?! 😂😎,144,110,25,9,0,0,0,32,22,VIDEO,https://www.facebook.com/LADbible/videos/3254663594580808/
133847470017994_1776238939112164,Wed Jul 04 18:01:30 UTC 2018,04/07/2018,07/04/2018,Wednesday,18:01:30,"#DogOfTheWeek 'Ulay' 7 years young and fed on NEW Skinner's Field & Trial Grain Free Chicken & Sweet Potato 🐶 

Is your dog #fedonskinners ? We would love to feature them as #DogOfTheWeek just send in a picture of them with which Skinner's they are fed on! 🐶 🐾",32,29,3,0,0,0,0,36,8,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1776238939112164/?type=3
133847470017994_1773323226070402,Mon Jul 02 18:30:31 UTC 2018,02/07/2018,07/02/2018,Monday,18:30:31,We are proud sponsors again for this year's Suffolk Dog Day taking place at Helmingham Hall on 29th July! You can enter Suffolk Dog Day's competition #LetSleepingDogsLie here: http://bit.ly/2KEkIVm PAW-some prize package up for grabs! 🐾,23,22,1,0,0,0,0,0,0,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1773323226070402/?type=3
133847470017994_1771855226217202,Sun Jul 01 18:30:07 UTC 2018,01/07/2018,07/01/2018,Sunday,18:30:07,"We are delighted to announce we have been named as finalists at this years Suffolk Business Awards, in the 'Large Business of The Year' Category! http://bit.ly/2Kkcz9p",90,87,2,0,1,1,0,6,12,LINK,https://bit.ly/2Kkcz9p
133847470017994_1768445253224866,Fri Jun 29 15:29:59 UTC 2018,29/06/2018,06/29/2018,Friday,15:29:59,☀️Happy Friday everyone! ☀️ Keep cool over the weekend in this hot weather... check out our top tips for keeping your dog cool: http://bit.ly/2rx12aH,78,50,13,13,2,2,0,13,25,VIDEO,https://www.facebook.com/LADbible/videos/4775784329135386/
133847470017994_1767115853357806,Thu Jun 28 18:30:59 UTC 2018,28/06/2018,06/28/2018,Thursday,18:30:59,"🔆 WIN A 7 DAY HOLIDAY IN SUFFOLK! 🔆 

Plus a years supply of Skinner's.... all you need to do is follow the link below to enter your dogs talent! #SkinnersGotTalent 

http://bit.ly/2st9VmH  

Competition closes Saturday! Good Luck! 🍀 Suffolk Cottage Holidays",19,19,0,0,0,0,0,4,9,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1767115853357806/?type=3
133847470017994_1765542626848462,Wed Jun 27 18:02:00 UTC 2018,27/06/2018,06/27/2018,Wednesday,18:02:00,#DogOfTheWeek Patouche Milord The Brittany - Won Best of Breed at Crufts 2018- Handled by Jessica Frost. Fed on Field & Trial Duck & Rice 🏆 #FedOnSkinners,46,37,9,0,0,0,0,1,4,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1765542626848462/?type=3
133847470017994_1763987413670650,Tue Jun 26 18:01:43 UTC 2018,26/06/2018,06/26/2018,Tuesday,18:01:43,We have recently welcomed a new member to the Skinner's Team... Dr Jacqueline Boyd has joined us as Nutritional Consultant! We have asked Jackie a few questions so you can get to know her 😊  http://bit.ly/2lBwUbo,44,40,4,0,0,0,0,2,7,LINK,https://bit.ly/2lBwUbo
133847470017994_1762518317150893,Mon Jun 25 18:00:45 UTC 2018,25/06/2018,06/25/2018,Monday,18:00:45,"⭐ NEW ⭐ Field & Trial Grain Free Chicken & Sweet Potato, coming to a store near you soon! ⭐",82,74,6,0,1,1,1,14,23,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1762518317150893/?type=3